Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,136.144,-68.453,90,top
C3,.1uF,C_0402_1005Metric,137.513,-70.993,0,top
C4,.1uF,C_0402_1005Metric,137.132,-69.977,0,top
C5,.1uF,C_0402_1005Metric,135.255,-80.264,-90,top
C6,.1uF,C_0402_1005Metric,134.62,-65.052,90,top
C7,.1uF,C_0402_1005Metric,133.604,-65.687,90,top
C8,.1uF,C_0402_1005Metric,127.663,-69.85,180,top
C10,1uF,C_0402_1005Metric,135.128,-68.608,90,top
C12,.1uF,C_0402_1005Metric,132.461,-65.87,90,top
C13,10uF,C_0603_1608Metric,129.0525,-59.0675,180,top
C14,10uF,C_0603_1608Metric,129.085,-52.959,0,top
C15,33pF,C_0402_1005Metric,129.667,-80.391,90,top
C16,33pF,C_0402_1005Metric,133.703,-83.82,180,top
C17,.1uF,C_0402_1005Metric,129.822,-64.135,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,132.375,-46.85,180,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,129.835,-93.74,90,top
R1,5.1k,C_0402_1005Metric,133.77,-53.2,-90,top
R2,5.1k,C_0402_1005Metric,131.22,-53.18,-90,top
R3,27,C_0402_1005Metric,134.112,-68.1456,90,top
R4,27,C_0402_1005Metric,133.096,-68.1456,90,top
R5,1k,C_0402_1005Metric,132.743,-79.121,0,top
R6,10k,C_0402_1005Metric,127.663,-64.135,180,top
R7,1k,C_0402_1005Metric,125.984,-64.262,-90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,131.445,-61.595,180,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,132.375,-73.85,0,top
U2,AP2112K-3.3,SOT-23-5,129.0525,-56.04,-90,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,129.032,-66.04,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,132.631,-81.573,180,top
C2,.1uF,C_0402_1005Metric,137.16,-76.299,-90,bottom
C9,.1uF,C_0402_1005Metric,127.028,-75.692,180,bottom
C11,.1uF,C_0402_1005Metric,135.128,-82.197,-90,bottom
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,123.485,-45.72,180,bottom
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,141.265,-45.72,180,bottom
