Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"C6,C12,C3,C17,C8,C5,C4,C7,C11,C2,C9",C_0402_1005Metric,11,.1uF,
2,"C1,C10",C_0402_1005Metric,2,1uF,
3,"R7,R5",C_0402_1005Metric,2,1k,
4,U2,SOT-23-5,1,AP2112K-3.3,
5,"C13,C14",C_0603_1608Metric,2,10uF,
6,"C16,C15",C_0402_1005Metric,2,33pF,
7,"R2,R1",C_0402_1005Metric,2,5.1k,
8,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
9,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
10,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
11,"R3,R4",C_0402_1005Metric,2,27,
12,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
13,R6,C_0402_1005Metric,1,10k,
14,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
15,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVZPIQ TR,
16,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
